CustomerID,Age,AnnualIncome,SpendingScore,Gender
234,53,48647,73,Male
235,48,53139,23,Male
236,15,57422,74,Male
237,38,40481,83,Male
238,16,37967,47,Female
239,62,38298,69,Male
240,44,56524,47,Male
241,50,45842,87,Male
242,24,62543,30,Female
243,45,55655,25,Female
244,25,16346,28,Male
245,25,54212,98,Male
246,38,82956,25,Female
247,58,67079,74,Female
248,38,55530,78,Female
249,18,35309,58,Male
250,72,52963,94,Male
251,55,58596,41,Female
252,26,46593,25,Male
253,37,54051,78,Female
254,31,72544,99,Female
255,62,33940,48,Female
256,34,33725,98,Male
257,51,58290,10,Female
258,28,57063,99,Female
259,27,65732,75,Male
260,31,58446,11,Female
261,43,40183,85,Male
262,17,57782,21,Female
263,36,32268,86,Male
264,48,44445,45,Female
265,40,56541,7,Female
266,40,43592,81,Female
267,20,88020,64,Female
268,33,21317,64,Female
269,36,41187,2,Male
270,52,33733,76,Male
271,20,40494,42,Female
272,65,36855,82,Female
273,58,27303,54,Female
274,50,59290,75,Male
275,59,38893,16,Male
276,52,50253,18,Female
277,38,42677,99,Male
278,53,37336,59,Female
279,13,76784,90,Female
280,32,63643,16,Female
281,41,20876,6,Male
282,43,19087,57,Female
283,69,61739,47,Female
284,39,41302,48,Female
285,48,23463,42,Male
286,42,64486,76,Male
287,59,49636,60,Male
288,54,51373,77,Female
289,21,63043,4,Male
290,28,30550,2,Female
291,41,24427,90,Male
292,60,70714,59,Female
293,71,24342,27,Male
294,65,28166,27,Female
295,14,36263,79,Male
296,20,82199,72,Male
297,68,53600,7,Male
298,33,64181,63,Female
299,18,54142,46,Male
300,57,38271,63,Male
301,51,57369,12,Male
302,27,26950,13,Male
303,55,31070,43,Female
304,48,59194,17,Male
305,37,28941,63,Female
306,64,43763,81,Female
307,33,47547,36,Female
308,18,43270,85,Female
309,33,20433,8,Male
310,44,39166,69,Female
311,47,35925,90,Female
312,42,51221,80,Female
313,71,47557,36,Female
314,24,56269,28,Male
315,66,36260,93,Male
316,27,58141,47,Female
317,54,24259,76,Female
318,52,20471,30,Female
319,52,12766,23,Male
320,37,41810,16,Male
321,54,36300,14,Male
322,65,58339,74,Male
323,41,39170,71,Male
324,54,51700,52,Female
325,38,61399,37,Male
326,41,38605,29,Male
327,30,54470,67,Female
328,61,61928,15,Male
329,35,30927,100,Male
330,22,51172,47,Male
331,47,38069,46,Female
332,28,32582,52,Male
333,57,24253,19,Female
334,57,29440,77,Female
335,49,49000,21,Male
336,20,26837,64,Male
337,54,39339,37,Male
338,31,62097,27,Male
339,40,55735,55,Female
340,62,38842,29,Male
341,40,74345,20,Female
342,20,79395,25,Female
343,22,51191,70,Female
344,23,13671,63,Female
345,36,62696,36,Female
346,54,13190,2,Male
347,68,68342,22,Female
348,24,66853,96,Female
349,71,72513,16,Male
350,36,53303,18,Male
351,43,43279,69,Female
352,66,39648,54,Female
353,42,40606,100,Male
354,50,62716,30,Female
355,58,57884,45,Male
356,62,48603,19,Male
357,66,35567,87,Female
358,26,89838,34,Male
359,43,62385,13,Female
360,48,24234,43,Female
361,52,40056,62,Female
362,40,62976,93,Male
363,49,36106,100,Female
364,45,53773,22,Male
365,47,62561,52,Female
366,64,10000,52,Female
367,48,46579,36,Male
368,24,49568,73,Female
369,62,40618,19,Female
370,34,54125,38,Male
371,21,60762,70,Male
372,53,49830,79,Male
373,64,40992,57,Female
374,32,59289,20,Male
375,62,47535,9,Male
376,45,45039,32,Female
377,49,28415,4,Male
378,41,25460,50,Female
379,67,26331,82,Female
380,24,54774,5,Male
381,53,46513,20,Female
382,59,24895,87,Male
383,55,57188,75,Male
384,45,69114,37,Male
385,50,39022,22,Male
386,68,20085,58,Female
387,66,35763,68,Female
388,51,60716,93,Male
389,48,56427,44,Male
390,51,34063,34,Female
391,70,68817,77,Male
392,36,69624,42,Female
393,52,36804,9,Male
394,42,37650,95,Female
395,45,39607,7,Female
396,16,43790,68,Female
397,31,64158,19,Male
398,44,54979,94,Male
399,54,60756,31,Male
400,46,58503,35,Male
401,24,76317,57,Male
402,56,31509,85,Female
403,66,52105,61,Female
404,42,16192,31,Female
405,69,26345,83,Female
406,52,46677,95,Female
407,65,52773,53,Female
408,38,47672,32,Female
409,39,40592,66,Male
410,23,44858,59,Female
411,44,69141,10,Male
412,58,41439,2,Female
413,22,77038,66,Female
414,40,60910,60,Male
415,31,56763,88,Female
416,58,29296,17,Male
417,51,61928,96,Female
418,26,42993,16,Male
419,57,29383,16,Female
420,66,54092,46,Male
421,55,26680,39,Male
422,47,36866,31,Female
423,55,47348,88,Female
424,43,81976,1,Male
425,54,37296,11,Female
426,62,39926,85,Male
427,40,59985,4,Female
428,36,30825,71,Male
429,25,57142,26,Female
430,28,68288,50,Male
431,55,42893,12,Female
432,63,62092,95,Male
433,41,53271,81,Male
434,13,40739,97,Female
435,21,47932,75,Female
436,61,41203,92,Male
437,28,48885,96,Male
438,28,52490,65,Male
439,31,58722,47,Male
440,70,53630,92,Female
441,42,12324,53,Male
442,32,48340,71,Male
443,45,25858,2,Male
444,50,43864,24,Female
445,22,48943,4,Male
446,47,62942,19,Female
447,44,48148,26,Female
448,40,52888,75,Female
449,63,58595,40,Female
450,45,66916,50,Female
451,40,47154,43,Female
452,43,50112,75,Female
453,69,46250,67,Male
454,70,37861,12,Male
455,55,35963,67,Female
456,23,16621,27,Male
457,36,33250,54,Male
458,58,20520,66,Female
459,51,66727,49,Male
460,46,51226,16,Female
461,25,48610,2,Male
462,63,35937,60,Female
463,61,47346,54,Female
464,25,37780,30,Male
465,55,50110,84,Male
466,17,54986,38,Female
467,25,37579,28,Female
468,65,33293,25,Female
469,53,62132,96,Male
470,67,45507,10,Male
471,47,36584,60,Male
472,68,40642,42,Male
473,54,32441,40,Female
474,60,45992,97,Female
475,68,58674,77,Female
476,33,49284,42,Female
477,28,85654,47,Male
478,66,52720,37,Female
479,60,50449,80,Female
480,50,34375,22,Male
481,40,45421,57,Male
482,34,37914,84,Female
483,36,16915,27,Male
484,47,62913,41,Female
485,41,41228,80,Male
486,51,36493,34,Male
487,44,51758,32,Female
488,39,56787,90,Male
489,22,45988,89,Female
490,25,50460,66,Male
491,18,62392,12,Male
492,20,45597,40,Male
493,59,51635,73,Male
494,51,23011,76,Male
495,45,29880,90,Female
496,61,55983,73,Male
497,43,29296,10,Female
498,61,50412,96,Male
499,57,45095,98,Female
500,18,45732,48,Male
501,34,37173,20,Female
502,58,60840,39,Female
503,23,76648,60,Male
504,39,53602,66,Male
505,49,52937,65,Male
506,17,41065,51,Female
507,29,32158,36,Female
508,41,48303,24,Male
509,29,35493,27,Male
510,63,20110,2,Female
511,49,60151,31,Female
512,43,61482,57,Male
513,43,35817,78,Female
514,29,53759,66,Male
515,41,63929,29,Male
516,17,54375,15,Male
517,62,28902,12,Female
518,67,42806,28,Female
519,51,67802,84,Female
520,63,50405,24,Female
521,69,54186,21,Male
522,25,55624,10,Female
523,25,37667,78,Male
524,31,40587,18,Male
525,42,53882,88,Male
526,38,61453,14,Female
527,67,62798,34,Male
528,40,36128,58,Male
529,56,53896,76,Female
530,52,65605,22,Male
531,52,32993,70,Female
532,44,70901,36,Female
533,51,72484,45,Female
534,36,88776,36,Male
535,26,53864,22,Female
536,19,54646,78,Female
537,50,60404,80,Female
538,51,59867,61,Female
539,71,62795,100,Male
540,44,60360,56,Female
541,25,48909,89,Male
542,37,67629,96,Female
543,44,32531,33,Male
544,13,51787,45,Female
545,26,73856,36,Male
546,63,27946,20,Female
547,22,40637,18,Male
548,28,60276,38,Male
549,36,55308,67,Male
550,31,36774,23,Female
551,18,44957,96,Male
552,65,28788,16,Male
553,43,63407,59,Male
554,51,44061,69,Male
555,45,75382,68,Female
556,40,50216,21,Male
557,42,45503,78,Male
558,33,44947,95,Male
559,62,43137,78,Female
560,53,49362,70,Male
561,45,86186,12,Male
562,51,42817,16,Male
563,72,41204,81,Male
564,62,47783,87,Female
565,57,63654,14,Male
566,26,29085,61,Male
567,18,58026,71,Female
568,16,39138,46,Female
569,53,55999,32,Female
570,58,39793,15,Male
571,24,16038,44,Female
572,64,52143,17,Male
573,60,52417,41,Female
574,47,39613,54,Male
575,32,40224,44,Female
576,24,30929,98,Male
577,44,60196,5,Female
578,64,59833,27,Male
579,15,38314,87,Male
580,69,38000,78,Male
581,70,45050,79,Male
582,48,82262,43,Male
583,41,57076,97,Male
584,32,35648,31,Male
585,39,53656,99,Male
586,26,29749,17,Female
587,45,59269,92,Male
588,38,74333,83,Male
589,26,75596,54,Female
590,40,60023,62,Male
591,52,39048,87,Female
592,68,26686,32,Male
593,60,25996,40,Female
594,23,10000,13,Female
595,17,61707,84,Male
596,70,44457,35,Female
597,64,60238,5,Male
598,28,71620,73,Male
599,50,49498,29,Male
600,54,49789,70,Male
601,45,41535,25,Female
602,39,43908,95,Male
603,50,58927,22,Female
604,27,47684,66,Female
605,55,42714,45,Male
606,22,50525,69,Male
607,38,62494,91,Male
608,50,37610,89,Male
609,70,45002,72,Female
610,52,51479,1,Male
611,60,64403,84,Female
612,56,43810,44,Male
613,34,38832,87,Male
614,67,39034,96,Male
615,59,62895,75,Male
616,52,78299,39,Female
617,36,29693,54,Female
618,35,33070,88,Male
619,46,45868,75,Female
620,54,49264,29,Female
621,25,62304,54,Male
622,70,32633,90,Male
623,25,34553,16,Female
624,35,51571,99,Female
625,41,45023,20,Female
626,50,61900,46,Female
627,53,55010,67,Male
628,45,56830,65,Male
629,31,48332,58,Female
630,62,82133,53,Male
631,40,36433,1,Female
632,60,56162,81,Female
633,43,29654,66,Male
634,37,33197,29,Female
635,29,40989,84,Female
636,40,73439,70,Male
637,65,50458,8,Male
638,48,39342,29,Female
639,29,55716,51,Female
640,61,47427,33,Male
641,32,42420,3,Female
642,30,29050,60,Female
643,26,71978,35,Male
644,23,53847,69,Male
645,43,81306,91,Male
646,29,64204,76,Male
647,48,56469,84,Male
648,67,39771,20,Male
649,35,33069,73,Female
650,64,43334,39,Female
651,32,32935,4,Male
652,23,60452,19,Male
653,55,71989,91,Female
654,33,45786,45,Female
655,43,62867,43,Female
656,70,35661,13,Male
657,36,44862,13,Male
658,48,35975,60,Female
659,42,16803,57,Male
660,31,49351,86,Male
661,51,49826,92,Male
662,61,62887,52,Female
663,61,58831,53,Female
664,54,59734,86,Male
665,33,35089,43,Male
666,50,54892,83,Male
667,19,74838,72,Male
668,55,53198,72,Male
669,37,76728,42,Female
670,41,79184,90,Male
671,56,43372,26,Male
672,28,39745,23,Male
673,39,37678,43,Female
674,60,24257,77,Female
675,29,42323,28,Male
676,21,69014,9,Female
677,22,17739,20,Female
678,60,31438,56,Female
679,38,47293,83,Female
680,58,34042,39,Female
681,26,42490,51,Female
682,60,39315,12,Male
683,27,46436,79,Female
684,52,36858,95,Female
685,56,35231,55,Male
686,21,64914,78,Male
687,69,61844,11,Male
688,39,28391,26,Male
689,18,10000,42,Female
690,25,66450,27,Female
691,47,29867,11,Female
692,52,50991,38,Female
693,58,23714,98,Male
694,39,68566,43,Female
695,21,89055,19,Female
696,69,48842,64,Male
697,66,44988,6,Female
698,18,46367,46,Female
699,37,61026,42,Female
700,71,54415,92,Female
701,35,64552,65,Male
702,25,41081,99,Male
703,46,53501,72,Male
704,65,38362,59,Male
705,20,35134,52,Male
706,53,47084,47,Female
707,18,37362,7,Female
708,48,65805,11,Male
709,32,36871,61,Male
710,61,52353,68,Male
711,59,38048,25,Female
712,46,52555,12,Male
713,30,42140,26,Female
714,47,29441,12,Female
715,38,56456,43,Female
716,53,44168,51,Female
717,22,55089,37,Male
718,62,40367,46,Female
719,30,30080,53,Female
720,67,62547,88,Male
721,42,59851,80,Female
722,41,40395,13,Female
723,40,50046,89,Female
724,23,66330,54,Male
725,62,39944,57,Female
726,56,42871,4,Female
727,22,54454,75,Male
728,16,44513,96,Male
729,31,62756,49,Female
730,46,45866,7,Female
731,64,34839,11,Male
732,40,58129,92,Female
733,45,31368,54,Male
734,51,78123,87,Female
735,26,74137,45,Male
736,65,54202,23,Female
737,64,53039,28,Male
738,51,53636,57,Male
739,65,39163,26,Male
740,65,50959,25,Male
741,41,35053,54,Male
742,37,56857,29,Female
743,34,62617,83,Female
744,28,44528,97,Male
745,51,38973,36,Female
746,53,29512,14,Female
747,49,69969,78,Female
748,38,41465,35,Female
749,35,46518,30,Female
750,39,53602,92,Female
751,64,50833,17,Male
752,61,58098,67,Female
753,62,41110,80,Female
754,27,33219,30,Female
755,33,29995,93,Male
756,44,39911,45,Female
757,14,37322,79,Female
758,18,46645,89,Female
759,36,69013,51,Male
760,42,43140,47,Female
761,24,44935,53,Male
762,31,49654,64,Female
763,25,44415,38,Male
764,45,47489,64,Male
765,37,57413,87,Male
766,26,63671,89,Female
767,55,62548,7,Male
768,33,80552,22,Male
769,40,57540,81,Male
770,40,82517,82,Male
771,21,39252,41,Female
772,47,79669,74,Female
773,48,42494,10,Female
774,40,44769,57,Female
775,21,49101,7,Male
776,66,43120,50,Female
777,43,49987,91,Male
778,46,39699,52,Female
779,53,60149,33,Female
780,60,38707,1,Female
781,51,57734,53,Male
782,44,71515,60,Female
783,32,44443,34,Female
784,22,62715,4,Female
785,45,56887,17,Male
786,32,83593,4,Female
787,32,42227,43,Female
788,43,60626,90,Male
789,64,22209,4,Male
790,48,40762,1,Female
791,31,55200,71,Female
792,65,67397,94,Female
793,54,29210,50,Male
794,23,62491,73,Male
795,39,48151,61,Male
796,64,23777,35,Female
797,22,53523,8,Male
798,59,72737,24,Female
799,37,32493,83,Male
800,16,49750,36,Male
801,24,35800,50,Male
802,46,41371,43,Female
803,62,68282,27,Female
804,66,42327,32,Female
805,22,71823,78,Female
806,51,64535,18,Male
807,22,45358,28,Female
808,32,42261,29,Male
809,47,34860,16,Female
810,68,32236,99,Female
811,70,51298,47,Male
812,32,49503,59,Male
813,42,39445,31,Female
814,47,25068,4,Female
815,39,50692,37,Male
816,34,42556,17,Male
817,46,45470,39,Male
818,70,50569,48,Male
819,34,12072,46,Male
820,46,25400,90,Female
821,46,82846,48,Female
822,60,39400,39,Female
823,53,10000,4,Female
824,19,29350,30,Male
825,36,86667,30,Male
826,68,35655,22,Male
827,23,68085,75,Female
828,41,50716,66,Male
829,29,42825,12,Male
830,17,62931,94,Female
831,51,12134,36,Female
832,20,29383,18,Female
833,54,40214,90,Male
834,17,31156,53,Male
835,38,40488,71,Female
836,56,60205,1,Female
837,52,49782,58,Male
838,30,69959,90,Female
839,30,52930,87,Male
840,36,64286,90,Female
841,30,49038,6,Female
842,42,39945,70,Female
843,32,72008,44,Male
844,29,39459,72,Male
845,63,51857,24,Female
846,15,63033,86,Male
847,69,58722,19,Female
848,61,29418,18,Female
849,25,66279,95,Male
850,18,36515,30,Male
851,17,63460,42,Male
852,67,54327,33,Male
853,54,59879,74,Female
854,49,30024,12,Male
855,50,56818,94,Male
856,40,65283,27,Female
857,52,50700,39,Female
858,25,38220,9,Female
859,58,60996,21,Female
860,38,50908,76,Male
861,47,23183,29,Male
862,18,37757,33,Female
863,63,38805,62,Female
864,32,72387,15,Male
865,22,70752,2,Male
866,63,66604,52,Male
867,24,54085,44,Male
868,45,62203,54,Male
869,46,31288,18,Female
870,32,49902,3,Female
871,68,52974,7,Female
872,60,30876,43,Female
873,42,51948,82,Male
874,28,75499,38,Female
875,49,56481,37,Male
876,42,62563,58,Male
877,28,13413,33,Male
878,22,74169,59,Male
879,25,47708,95,Male
880,71,34369,11,Male
881,57,44680,68,Male
882,59,24824,82,Female
883,46,64119,68,Male
884,59,42069,98,Female
885,66,35320,93,Female
886,54,45079,88,Male
887,32,66570,22,Male
888,50,49971,66,Female
889,31,28754,44,Female
890,47,55274,6,Female
891,72,31865,42,Female
892,51,15558,25,Male
893,72,68240,57,Male
894,56,54258,85,Male
895,51,46725,55,Female
896,43,43515,16,Male
897,33,70656,95,Female
898,50,94307,14,Male
899,62,53531,39,Female
900,68,30755,28,Male
901,35,47183,96,Male
902,18,57658,92,Female
903,49,12857,51,Female
904,16,56417,49,Female
905,22,57346,9,Female
906,31,69795,58,Female
907,27,68631,45,Male
908,33,51367,22,Female
909,33,72419,32,Male
910,44,79135,69,Male
911,26,50819,87,Male
912,49,54372,69,Male
913,21,24390,42,Male
914,18,29435,53,Female
915,32,37227,96,Female
916,64,39945,59,Male
917,58,30758,74,Male
918,64,46060,39,Female
919,26,44194,15,Female
920,68,62263,71,Male
921,61,39778,29,Female
922,42,14499,3,Female
923,33,51586,83,Female
924,52,47587,10,Male
925,27,37369,92,Female
926,29,51524,29,Male
927,29,33971,79,Male
928,25,55447,35,Male
929,58,86693,6,Male
930,17,24215,12,Male
931,37,41556,38,Female
932,21,40752,77,Male
933,48,41701,93,Male
934,15,66798,19,Male
935,42,56942,67,Female
936,44,61331,8,Female
937,53,48157,8,Female
938,68,26368,84,Female
939,71,29179,47,Female
940,32,60993,4,Female
941,33,52262,51,Female
942,18,70103,85,Male
943,36,53798,67,Male
944,49,30354,45,Female
945,59,39271,8,Male
946,37,57772,87,Male
947,33,60354,16,Female
948,18,64026,77,Male
949,17,35572,67,Male
950,17,33284,9,Female
951,59,44252,60,Male
952,24,72201,78,Female
953,38,38791,77,Female
954,59,53924,71,Male
955,55,54325,15,Male
956,63,58111,71,Male
957,26,75366,98,Female
958,46,71828,41,Female
959,66,37480,22,Female
960,46,16931,24,Male
961,25,40322,44,Male
962,39,50235,1,Female
963,63,41275,10,Male
964,39,78618,80,Male
965,59,47381,72,Female
966,45,58305,56,Female
967,63,49958,89,Male
968,61,41700,50,Female
969,33,20827,12,Male
970,38,48020,89,Female
971,51,96719,81,Female
972,16,32733,60,Female
973,25,23276,26,Male
974,70,75045,78,Male
975,55,58631,41,Female
976,66,49211,36,Female
977,35,69940,23,Female
978,64,34127,43,Male
979,40,47401,6,Female
980,35,63827,69,Female
981,39,80755,43,Female
982,49,30571,25,Female
983,40,68211,18,Male
984,31,55627,62,Male
985,37,51745,13,Female
986,15,51384,43,Male
987,58,26430,78,Male
988,47,62746,28,Male
989,26,38665,18,Female
990,67,30104,59,Male
991,26,63681,60,Male
992,16,63237,63,Male
993,63,47885,57,Female
994,42,64993,92,Female
995,67,67689,51,Male
996,59,66723,56,Male
997,60,39075,27,Female
998,59,62311,32,Female
999,35,52674,9,Male
1000,54,73488,96,Male
1001,50,46144,84,Female
1002,66,41052,92,Female
1003,31,40693,97,Male
1004,38,52039,68,Female
1005,57,54300,46,Male
1006,41,56189,98,Male
1007,31,55137,67,Male
1008,52,57865,26,Female
1009,38,45861,8,Male
1010,59,34012,6,Male
1011,36,35002,80,Female
1012,47,62925,24,Female
1013,62,53854,48,Male
1014,40,21162,94,Male
1015,34,66051,45,Female
1016,28,78406,13,Female
1017,41,38161,69,Female
1018,43,53742,25,Male
1019,16,44298,20,Male
1020,24,60024,82,Male
1021,17,33809,82,Female
1022,53,46628,66,Male
1023,62,61519,74,Female
1024,38,67735,45,Male
1025,66,52797,47,Female
1026,54,42514,63,Male
1027,68,22310,76,Male
1028,41,37536,77,Female
1029,51,40860,55,Female
1030,67,35833,75,Male
1031,22,51693,19,Female
1032,61,41771,35,Female
1033,70,48581,53,Male
1034,64,64639,26,Female
1035,34,43503,14,Male
1036,60,26256,45,Male
1037,61,36374,44,Female
1038,50,56753,88,Female
1039,19,61269,65,Male
1040,72,51891,51,Male
1041,40,68511,43,Male
1042,54,44804,86,Male
1043,61,77682,23,Male
1044,23,62972,56,Male
1045,50,10147,19,Female
1046,52,74809,82,Female
1047,42,37295,76,Female
1048,34,34088,55,Male
1049,23,58556,92,Female
1050,23,24627,92,Male
1051,67,35867,60,Male
1052,25,73856,59,Female
1053,46,56743,33,Male
1054,31,62083,19,Male
1055,42,38946,28,Male
1056,51,24824,52,Male
1057,45,59102,49,Male
1058,27,64253,37,Male
1059,18,64474,26,Female
1060,65,49636,99,Male
1061,52,33293,98,Male
1062,57,83866,99,Male
1063,49,55296,40,Male
1064,50,45391,80,Female
1065,37,46758,38,Female
1066,51,50143,77,Male
1067,20,67044,87,Male
1068,15,54344,54,Male
1069,35,62377,22,Female
1070,41,51170,16,Female
1071,23,49014,28,Female
1072,21,60518,35,Female
1073,36,58449,60,Male
1074,25,47955,45,Female
1075,70,34761,46,Female
1076,51,53025,72,Male
1077,51,49075,55,Male
1078,71,37576,86,Female
1079,16,38763,85,Female
1080,34,55757,26,Female
1081,30,58251,85,Female
1082,22,45399,25,Male
1083,40,40300,65,Male
1084,68,33746,6,Female
1085,57,53033,23,Female
1086,59,35040,64,Female
1087,17,84917,87,Female
1088,20,44845,43,Female
1089,46,12021,23,Male
1090,20,50547,96,Male
1091,35,48404,30,Male
1092,35,66175,77,Female
1093,47,52621,18,Female
1094,36,36892,87,Male
1095,64,42304,79,Male
1096,31,54811,97,Female
1097,62,14329,21,Male
1098,20,71079,57,Female
1099,43,36232,23,Female
1100,30,71255,91,Male
1101,53,53586,45,Male
1102,52,57243,44,Male
1103,26,67641,82,Female
1104,56,55996,88,Female
1105,28,60293,47,Male
1106,63,44233,40,Female
1107,24,56182,51,Female
1108,50,39187,42,Female
1109,27,45148,7,Male
1110,68,75670,50,Female
1111,31,37777,48,Male
1112,19,53414,84,Male
1113,42,50502,91,Female
1114,24,45938,6,Male
1115,56,55116,91,Female
1116,23,59545,9,Male
1117,29,36212,57,Male
1118,53,49220,31,Female
1119,23,34464,21,Male
1120,37,61128,90,Male
1121,22,53447,40,Male
1122,57,48534,45,Female
1123,21,60785,77,Female
1124,32,45667,49,Male
1125,21,64610,87,Male
1126,23,36473,20,Male
1127,34,70778,92,Female
1128,37,41036,17,Female
1129,50,22557,28,Male
1130,54,42671,41,Female
1131,45,41870,66,Female
1132,45,43458,25,Female
1133,64,50074,58,Female
1134,21,67367,41,Male
1135,56,44524,6,Female
1136,62,36425,75,Female
1137,28,33301,38,Male
1138,28,43177,6,Male
1139,21,22582,45,Female
1140,47,37423,75,Female
1141,30,68660,14,Male
1142,47,35949,66,Male
1143,53,57130,40,Male
1144,16,33002,3,Female
1145,61,73466,99,Female
1146,39,76664,97,Male
1147,48,57065,24,Female
1148,28,80068,19,Male
1149,28,55536,18,Female
